Source,Target
11952,259116448
11952,41868770
11952,61870705
11952,86711827
11952,68892630
11952,205656027
20090,426343826
56613,71789576
56613,68511624
56613,27630218
56613,289601943
56613,238280984
56613,313087738
56613,36267419
56613,106141084
56613,17631775
56613,12770720
56613,124186271
56613,20759076
56613,44373285
56613,126319271
56613,119569703
56613,101833651
56613,86918965
56613,108536246
56613,239966391
56613,81206
56613,97723
56613,6588988
56613,281022
56613,67412673
56613,70703426
56613,35178434
56613,154122439
56613,27064903
56613,16229191
56613,93845711
56613,95463632
56613,8052946
56613,12783315
56613,267301076
56613,265084756
56613,266956374
56613,115208535
56613,10738391
56613,11190617
56613,85984605
56613,55541216
56613,149163872
56613,98780514
56613,156312292
56613,161216229
56613,1393384
56613,52246761
56613,157489385
56613,310349290
56613,8669306
56613,25359742
56613,218943231
80420,80404258
80420,38382019
80420,36026532
80420,368617862
80420,1666282
80420,693390
80420,12590511
80420,23498897
80420,4587508
80420,18555285
80420,1519480
80420,11190617
80420,25023005
80420,2101534
81206,68511624
81206,27630218
81206,588429
81206,27192334
81206,1084180
81206,18632724
81206,238280984
81206,88831771
81206,13171483
81206,12770720
81206,58014114
81206,20759076
81206,56613
81206,119569703
81206,377546670
81206,101833651
81206,2900408
81206,1583546
81206,97723
81206,6588988
81206,281022
81206,154122439
81206,93845711
81206,115208535
81206,10738391
81206,83280867
81206,1494374
81206,73439334
81206,1393384
81206,52246761
81206,157489385
81206,21314173
96206,131586598
96206,2838667
96206,8341691
96206,8688335
96206,241969
96206,8405491
96206,51830394
96206,7769595
97723,33503232
97723,16685057
97723,33456137
97723,108414987
97723,38639630
97723,116000783
97723,8482831
97723,119932947
97723,18632724
97723,7692313
97723,8761370
97723,19683358
97723,16355362
97723,91486242
97723,1777700
97723,82182181
97723,150519847
97723,57628734
97723,150904903
97723,95461450
97723,18092108
97723,3569754
97723,12300388
97723,73439334
97723,15966311
97723,5746791
97723,34904173
97723,101015662
97723,17301625
97723,64133244
97723,148519036
97723,25618556
97723,35414144
97723,57196673
97723,134981762
97723,16404613
97723,15562886
97723,140107916
97723,9537678
97723,10344590
97723,12664978
97723,7420056
97723,3352732
97723,22462625
97723,24952994
97723,30695590
97723,30728358
97723,1740968
97723,18321577
97723,20070578
97723,135520438
97723,97796283
97723,8341691
