Source,Target
149061807,90025108
149061807,97513683
149061807,83848730
149061807,162042489
149061807,137603280
149061807,26484449
149061807,137980939
149061807,162666116
149061807,135979043
149061807,123819331
149061807,139599995
149061807,194146366
149061807,178655407
149061807,185352206
149061807,18031725
149061807,89530569
149061807,85934256
149061807,90226154
149061807,71035577
149061807,22171445
149061807,219200607
149061807,40584410
149061807,40753584
149061807,341871317
149061807,246024696
149061807,199847776
149061807,49743084
149061807,76039583
149061807,162334011
149061807,56443386
149061807,382355930
149061807,47259093
149061807,426193177
149061807,45050468
149061807,68603392
149061807,165420522
149061807,134448659
149061807,76718224
149061807,191839048
149061807,80526333
149061807,107071727
149061807,141212886
149061807,22013081
149061807,40271055
149061807,138475435
149061807,43149723
149061807,186274805
149061807,17880393
149061807,23762493
149061807,118363632
149061807,163298395
149061807,148117617
149061807,132230294
149061807,194759959
149061807,29461701
149061807,79850701
149061807,232375018
149061807,88654015
149061807,156056633
149061807,169228917
149061807,58978893
149061807,34143544
149061807,80096908
149061807,89628482
149061807,176366874
149061807,177305942
149061807,129945820
149061807,141078729
149061807,163488426
149061807,21525823
149061807,67762281
149061807,110629301
149061807,210636556
90025108,149061807
90025108,97513683
90025108,83848730
90025108,162042489
90025108,137603280
90025108,26484449
90025108,137980939
90025108,162666116
90025108,135979043
90025108,123819331
90025108,139599995
90025108,194146366
90025108,178655407
90025108,185352206
90025108,18031725
90025108,89530569
90025108,85934256
90025108,90226154
90025108,71035577
90025108,22171445
90025108,219200607
90025108,40584410
90025108,40753584
90025108,341871317
90025108,246024696
90025108,199847776
90025108,49743084
90025108,76039583
90025108,162334011
90025108,56443386
90025108,382355930
90025108,47259093
90025108,426193177
90025108,45050468
90025108,68603392
90025108,165420522
90025108,134448659
90025108,76718224
90025108,191839048
90025108,80526333
90025108,107071727
90025108,141212886
90025108,22013081
90025108,40271055
90025108,138475435
90025108,43149723
90025108,186274805
90025108,17880393
90025108,23762493
90025108,118363632
90025108,163298395
90025108,148117617
90025108,132230294
90025108,194759959
90025108,29461701
90025108,79850701
90025108,232375018
90025108,88654015
90025108,156056633
90025108,169228917
90025108,58978893
90025108,34143544
90025108,80096908
90025108,89628482
90025108,176366874
90025108,177305942
90025108,129945820
90025108,141078729
90025108,163488426
90025108,21525823
90025108,67762281
90025108,110629301
90025108,210636556
97513683,149061807
97513683,90025108
97513683,83848730
97513683,162042489
97513683,137603280
97513683,26484449
97513683,137980939
97513683,162666116
97513683,135979043
97513683,123819331
97513683,139599995
97513683,194146366
97513683,178655407
97513683,185352206
97513683,18031725
97513683,89530569
97513683,85934256
97513683,90226154
97513683,71035577
97513683,22171445
97513683,219200607
97513683,40584410
97513683,40753584
97513683,341871317
97513683,246024696
97513683,199847776
97513683,49743084
97513683,76039583
97513683,162334011
97513683,56443386
97513683,382355930
97513683,47259093
97513683,426193177
97513683,45050468
97513683,68603392
97513683,165420522
97513683,134448659
97513683,76718224
97513683,191839048
97513683,80526333
97513683,107071727
97513683,141212886
97513683,22013081
97513683,40271055
97513683,138475435
97513683,43149723
97513683,186274805
97513683,17880393
97513683,23762493
97513683,118363632
97513683,163298395
97513683,148117617
97513683,132230294
97513683,194759959
97513683,29461701
97513683,79850701
97513683,232375018
97513683,88654015
97513683,156056633
97513683,169228917
97513683,58978893
97513683,34143544
97513683,80096908
97513683,89628482
97513683,176366874
97513683,177305942
97513683,129945820
97513683,141078729
97513683,163488426
97513683,21525823
97513683,67762281
97513683,110629301
97513683,210636556
83848730,149061807
83848730,90025108
83848730,97513683
83848730,162042489
83848730,137603280
83848730,26484449
83848730,137980939
83848730,162666116
83848730,135979043
83848730,123819331
83848730,139599995
83848730,194146366
83848730,178655407
83848730,185352206
83848730,18031725
83848730,89530569
83848730,85934256
83848730,90226154
83848730,71035577
83848730,22171445
83848730,219200607
83848730,40584410
83848730,40753584
83848730,341871317
83848730,246024696
83848730,199847776
83848730,49743084
83848730,76039583
83848730,162334011
83848730,56443386
83848730,382355930
83848730,47259093
83848730,426193177
83848730,45050468
83848730,68603392
83848730,165420522
83848730,134448659
83848730,76718224
83848730,191839048
83848730,80526333
83848730,107071727
83848730,141212886
83848730,22013081
83848730,40271055
83848730,138475435
83848730,43149723
83848730,186274805
83848730,17880393
83848730,23762493
83848730,118363632
83848730,163298395
83848730,148117617
83848730,132230294
83848730,194759959
83848730,29461701
83848730,79850701
83848730,232375018
83848730,88654015
83848730,156056633
83848730,169228917
83848730,58978893
83848730,34143544
83848730,80096908
83848730,89628482
83848730,176366874
83848730,177305942
83848730,129945820
83848730,141078729
83848730,163488426
83848730,21525823
83848730,67762281
83848730,110629301
83848730,210636556
162042489,149061807
162042489,90025108
162042489,97513683
162042489,83848730
162042489,137603280
162042489,26484449
162042489,137980939
162042489,162666116
162042489,135979043
162042489,123819331
162042489,139599995
162042489,194146366
162042489,178655407
162042489,185352206
162042489,18031725
162042489,89530569
162042489,85934256
162042489,90226154
162042489,71035577
162042489,22171445
162042489,219200607
162042489,40584410
162042489,40753584
162042489,341871317
