Source,Target
30330065,47408138
43149723,110629301
30330065,227471342
176366874,506356858
256129589,267599840
40584410,163488426
194759959,325902110
83568283,97981838
426193177,22171445
80526333,89530569
93327196,135979043
79850701,165420522
224304589,148228050
176366874,322889280
178655407,75559769
132230294,195740854
21525823,270139938
95480116,53676194
50853951,80096908
198236251,105200563
411732593,40271055
83568283,506356858
170337558,250281120
45050468,187300168
128623811,132933301
90025108,34143544
80526333,137603280
40584410,85934256
71580199,175158428
89628482,137603280
35953975,194146366
47408138,232375018
347339261,98650463
80096908,149061807
137147968,163298395
219200607,149192198
126905809,478821705
22013081,121816123
118363632,137603280
194759959,169642165
98876195,228550804
67762281,53676194
97981838,216909904
40271055,134448659
47408138,506356858
30330065,134448659
105200563,71035577
85934256,382355930
214844130,228550804
40271055,34143544
