Source,Target
18031725,79850701
18031725,89628482
18031725,85934256
18031725,341871317
18031725,26484449
18031725,400489268
26484449,85934256
26484449,79850701
26484449,89628482
26484449,210636556
26484449,341871317
26484449,400489268
26484449,163298395
79850701,85934256
79850701,341871317
79850701,210636556
79850701,400489268
79850701,89628482
79850701,163298395
79850701,256129589
85934256,210636556
85934256,89628482
85934256,341871317
85934256,400489268
85934256,163298395
89628482,210636556
89628482,341871317
89628482,163298395
89628482,400489268
163298395,341871317
163298395,400489268
163298395,210636556
210636556,341871317
210636556,400489268
256129589,341871317
341871317,400489268
