Source,Target
17880393,199847776
17880393,26484449
17880393,98876195
17880393,123819331
17880393,29461701
17880393,426193177
17880393,85934256
17880393,40753584
17880393,132933301
17880393,141212886
17880393,22171445
17880393,162042489
17880393,40584410
17880393,43149723
17880393,21525823
18031725,67264131
18031725,162666116
18031725,80096908
18031725,185352206
18031725,90025108
18031725,22729496
18031725,83848730
18031725,325902110
18031725,95480116
18031725,169642165
18031725,110629301
18031725,34143544
18031725,23762493
18031725,58978893
18031725,79850701
18031725,40584410
18031725,169228917
18031725,246024696
18031725,56443386
18031725,139599995
21525823,76718224
21525823,199847776
22013081,163488426
22013081,137980939
22013081,80096908
22013081,138475435
22013081,178655407
22013081,149061807
22013081,47259093
22013081,71035577
22013081,382355930
22013081,80526333
22013081,21525823
22171445,26484449
22171445,29461701
22171445,40584410
22171445,17880393
22171445,40753584
22171445,134448659
22171445,43149723
22171445,83848730
22171445,139599995
22171445,23762493
22171445,21525823
22729496,67264131
22729496,89530569
22729496,160501676
22729496,18031725
22729496,58978893
22729496,325902110
22729496,95480116
22729496,169642165
22729496,121816123
22729496,194146366
23762493,68603392
23762493,80096908
23762493,185352206
23762493,156291087
23762493,90025108
23762493,132230294
23762493,83568283
23762493,43149723
23762493,325902110
23762493,193287071
23762493,85934256
23762493,22171445
23762493,34143544
23762493,88654015
23762493,21525823
23762493,29461701
23762493,79850701
23762493,40271055
23762493,40584410
23762493,129945820
23762493,93327196
23762493,199847776
23762493,214844130
23762493,45050468
23762493,18031725
23762493,118363632
23762493,56443386
26484449,29461701
26484449,426193177
26484449,17880393
26484449,185352206
26484449,85934256
26484449,40753584
26484449,22171445
26484449,141212886
26484449,162042489
26484449,83848730
26484449,43149723
26484449,21525823
29461701,154036483
29461701,162666116
29461701,80096908
29461701,210636556
29461701,76718224
29461701,132230294
29461701,194759959
29461701,426193177
29461701,83848730
29461701,176366874
29461701,175158428
29461701,43149723
29461701,163488426
29461701,178655407
29461701,85934256
29461701,40753584
29461701,22171445
29461701,34143544
29461701,23762493
29461701,141986809
29461701,21525823
29461701,123819331
29461701,191839048
29461701,89530569
29461701,17880393
29461701,79850701
29461701,40271055
29461701,137603280
29461701,97513683
29461701,141212886
29461701,75559769
29461701,40584410
29461701,129945820
29461701,199847776
29461701,26484449
29461701,45050468
